NAME,SKU,CATEGORY,PRICE,BRAND,DESCRIPTION
2  CONCEALED,OUTLET,BATH & SHOWER MIXER,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
BATH & SHOWER MIXER,THERMOSTAT,CSC TRIMS WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
"` 1,",050,PRICE,1050,Price,Extracted from Price List 2026.pdf
Product KB2311056-RG,KB2311056-RG,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
9495_ 	M 12 	Outer 	300 (12”) 	SS 201 	Steel 	1 	35 	620,300,शल�शालॉी।,620,Viking_priced_catalogue_2026.1.pdf,Extracted from Viking_priced_catalogue_2026.1.pdf
Product KB2311032-RG,KB2311032-RG,ANGLE VALVE WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
"` 3,",550,SANITARYWARE,3550,Price,Extracted from Price List 2026.pdf
Product KB2311001-CG,KB2311001-CG,CONCEALED SINGLE LEVER,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
,350,EIHT,0,Viking_priced_catalogue_2026.1.pdf,Extracted from Viking_priced_catalogue_2026.1.pdf
Product KB2311056-CG,KB2311056-CG,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2311037-GM,KB2311037-GM,ARIUS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2311016-GM,KB2311016-GM,ARIUS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2311004-GM,KB2311004-GM,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2311056-GM,KB2311056-GM,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2311056-MBK,KB2311056-MBK,SINGLE LEVER DIVERTER TRIMS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
-CGL,KB2511010-ND,ANGLE VALVE WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
-CGL,KB2511011-ND,WITHOUT POP-UP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2511023-CGL,KB2511023-CGL,WITHOUT POP-UP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2511001-CGL,KB2511001-CGL,CONCEALED WALL MOUNTED,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2511002-CGL,KB2511002-CGL,PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2511037-CGL,KB2511037-CGL,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2511016-CGL,KB2511016-CGL,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2511003-CGL,KB2511003-CGL,SINGLE LEVER DIVERTER TRIMS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2511032-CGL,KB2511032-CGL,ANGLE VALVE WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
-GM,KB2211010-ND,CONCEALED SINGLE LEVER,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
-GM,KB2211011-ND,WITHOUT POP-UP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211023-CP,KB2211023-CP,AGALIA,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211001-CP,KB2211001-CP,PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211002-CP,KB2211002-CP,TALL PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Per Piece `,825,SHOWER,825,Price,Extracted from Price List 2026.pdf
Product KB2211036-CP,KB2211036-CP,AGALIA,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211037-CP,KB2211037-CP,BATH & SHOWER MIXER TRIMS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211004-CP,KB2211004-CP,SINGLE LEVER DIVERTER TRIMS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211016-CP,KB2211016-CP,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211005-CP,KB2211005-CP,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
"` 2,",850,SANITARYWARE,2850,Price,Extracted from Price List 2026.pdf
Product KB2211003-CP,KB2211003-CP,MIXER WITHOUT POP-UP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211032-CP,KB2211032-CP,ANGLE VALVE WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB22THR002-CP,KB22THR002-CP,CSC TRIMS WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211037-RG,KB2211037-RG,CSC TRIMS WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211002-RG,KB2211002-RG,TALL PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211001-RG,KB2211001-RG,PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
